"date,state,fips,cases,deaths"
"2020-03-10,Sindh,1,14,0"
"2020-03-11,Sindh,1,0,0"
"2020-03-12,Sindh,1,1,0"
"2020-03-13,Sindh,1,1,0"
"2020-03-14,Sindh,1,2,0"
"2020-03-15,Sindh,1,16,0"
"2020-03-16,Sindh,1,116,0"
"2020-03-17,Sindh,1,22,0"
"2020-03-18,Sindh,1,36,0"
"2020-03-19,Sindh,1,30,0"
"2020-03-20,Sindh,1,21,1"
"2020-03-21,Sindh,1,33,0"
"2020-03-22,Sindh,1,60,0"
"2020-03-23,Sindh,1,47,0"
"2020-03-24,Sindh,1,14,0"
"2020-03-25,Sindh,1,4,0"
"2020-03-26,Sindh,1,12,0"
"2020-03-27,Sindh,1,28,0"
"2020-03-28,Sindh,1,24,1"
"2020-03-29,Sindh,1,27,3"
"2020-03-30,Sindh,1,119,2"
"2020-03-31,Sindh,1,49,1"
"2020-04-01,Sindh,1,67,1"
"2020-04-02,Sindh,1,40,2"
"2020-04-03,Sindh,1,56,3"
"2020-04-04,Sindh,1,25,1"
"2020-04-05,Sindh,1,17,0"
"2020-04-06,Sindh,1,51,2"
"2020-04-07,Sindh,1,54,1"
"2020-04-08,Sindh,1,50,2"
"2020-04-09,Sindh,1,92,1"
"2020-04-10,Sindh,1,86,1"
"2020-04-11,Sindh,1,104,6"
"2020-04-12,Sindh,1,93,2"
"2020-04-13,Sindh,1,41,1"
